CodigoConvocatoria;CodigoSicAgente;NombreAgenteComprador;FechaPublicacionAviso;PeriodoAContratar;FechaPliegosParaConsulta;FechaPliegosDefinitivos;FechaLimiteRecepcionOfertas;AudienciaPublica;FechaMaximaFormalizacionContratos;Estado;TipoMercado;ExclusivaFNCER;FechaSuspension;FechaReactivacion;FechaCancelacion;FechaCierreConvocatoria
CP-EPIC2020-001;EPIC;CELSIA TOLIMA;3/02/2020;01/05/2020 al 31/12/2024;3/02/2020;24/02/2020;24/03/2020;3/04/2020;27/04/2020;Cerrada y adjudicada;Regulado;NO;;;;28/04/2020
CP-NMRC2020-001;NMRC;ENER+;30/01/2020;01/06/2020 al 31/12/2021;3/02/2020;24/02/2020;24/03/2020;4/04/2020;24/04/2020;Cerrada y adjudicada;Regulado;NO;;;;29/04/2020
CP-EDIC2020-001;EDIC;ELECTRICARIBE.;11/02/2020;15/05/2020 al 31/12/2025;11/02/2020;2/03/2020;31/03/2020;7/05/2020;29/05/2020;Cerrada y adjudicada;Regulado;NO;13/04/2020;;;1/06/2020
CP-EMPC2020-001;EMPC;EMSERPUCAR E.S.P.;3/03/2020;27/05/2020 al 31/12/2021;5/03/2020;26/03/2020;27/04/2020;9/05/2020;1/06/2020;Cerrada y desierta;Regulado;NO;;;;12/05/2020
CP-PEEC2020-002;PEEC;PEESA;3/03/2020;01/06/2020 al 31/12/2022;4/03/2020;26/03/2020;27/04/2020;9/05/2020;29/05/2020;Cerrada y adjudicada;Regulado;NO;;;;3/06/2020
CP-GNCC2020-001;GNCC;VATIA S.A.;20/02/2020;01/08/2020 al 31/12/2025;20/02/2020;12/03/2020;29/04/2020;13/05/2020;1/06/2020;Cerrada y adjudicada;Regulado;NO;14/04/2020;;;4/06/2020
CP-GNCC2020-002;GNCC;VATIA S.A.;2/03/2020;01/01/2021 al 31/12/2025;2/03/2020;24/03/2020;8/05/2020;21/05/2020;12/06/2020;Cerrada y desierta;Regulado;NO;22/04/2020;;;26/05/2020
CP-EEPC2020-001;EEPC;EEP(PEREIRA);30/03/2020;01/06/2020 al 31/12/2025;30/03/2020;14/04/2020;13/05/2020;23/05/2020;8/06/2020;Cerrada y adjudicada;Regulado;NO;;;;10/06/2020
CP-RTAC2020-001;RTAC;RENOVATIO;6/04/2020;01/01/2021 al 31/12/2025;6/04/2020;28/04/2020;28/05/2020;10/06/2020;11/06/2020;Cerrada y adjudicada;Regulado;NO;;;;17/06/2020
CP-CDSC2020-001;CDSC;CODENSA;21/04/2020;01/01/2021 al 31/12/2025;27/04/2020;18/05/2020;17/06/2020;2/07/2020;16/07/2020;Cerrada y adjudicada;Regulado;NO;;;;27/07/2020
CP-RTQC2020-001;RTQC;RUITOQUE S.A. E.S.P.;22/04/2020;01/01/2021 al 31/12/2025;24/04/2020;18/05/2020;17/06/2020;2/07/2020;24/07/2020;Cerrada y desierta;Regulado;NO;;;;7/07/2020
CP-DLRC2020-001;DLRC;DICELER;27/04/2020;15/07/2020 al 31/12/2026;27/04/2020;18/05/2020;17/06/2020;2/07/2020;24/07/2020;Cerrada y desierta;Regulado;NO;;;;3/07/2020
